개방자치단체코드,관리번호,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,부가기능,안전비상벨설치연도,최종점검일자,최종점검결과구분,관리기관명,관리기관전화번호,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3640000,202636400000900069,하천변-2호,방범용,화장실,대전천 별천지앞,대전광역시 동구 대전천동로33,대전광역시 동구 대성동 282-17,36.1733,127.2748,양방향,Y,N,N,경보등+경보음,2025,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900070,하천변-1호,방범용,화장실,대전천 아파트앞,대전광역시 동구 대전로 167,대전광역시 동구 대별동 3-3,36.1659,127.2758,양방향,Y,N,N,경보등+경보음+음성인식,2018,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900071,시장-7호,방범용,화장실,중앙시장 대형버스주차장,대전광역시 동구 대흥로 200,대전광역시 동구 인동 82-1,36.1933,127.2602,양방향,Y,N,N,경보등+경보음+음성인식,2025,2025-10-17,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900072,시장-6호,방범용,화장실,중앙시장 주차타워,대전광역시 동구 대전로797번길 27,대전광역시 동구 중동 93-1,36.1948,127.2602,양방향,Y,N,N,경보등+경보음+음성인식,2022,2025-10-16,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900073,시장-5호,방범용,화장실,용운시장 고개지원센터,대전광역시 동구 새울로91번길 14-17,대전광역시 동구 용운동 349-4,36.194,127.2747,단방향,Y,N,N,경보등+경보음,2022,2025-10-13,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900074,시장-4호,방범용,화장실,정원시장 고객지원센터,대전광역시 동구 대전로785번지44,대전광역시 동구 중동 82-5,36.1945,127.2555,단방향,Y,N,N,경보등+경보음,2022,2025-10-13,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900075,시장-3호,방범용,화장실,역전시장 고객지원센터,대전광역시 동구 역전시장길 84-1,대전광역시 동구 정동 1-12,36.1948,127.2607,양방향,Y,N,N,경보등+경보음+음성인식,2021,2025-10-14,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:22,2026-06-18 16:19:30
3640000,202636400000900110,2015-25(22),방범용,기타,삼정동 252-1,대전광역시 동구 삼정동 252-1,대전광역시 동구 삼정동 252-1,36.316,127.472,양방향,N,N,Y,경보등+경보음,2015,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:22,2026-06-18 16:21:04
3640000,202636400000900111,2015-26(26),방범용,기타,판암동 469-20,대전광역시 동구 판암동 469-20,대전광역시 동구 판암동 469-20,36.316,127.4553,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:22,2026-06-18 16:21:04
3640000,202636400000900112,2015-27(26),방범용,기타,판암동 738,대전광역시 동구 판암동 738,대전광역시 동구 판암동 738,36.3237,127.4491,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:22,2026-06-18 16:21:04
3640000,202636400000900113,2015-28(26),방범용,기타,판암동 563-6,대전광역시 동구 판암동 563-6,대전광역시 동구 판암동 563-6,36.3202,127.4498,양방향,N,N,Y,경보등+경보음,2015,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:22,2026-06-18 16:21:04
3640000,202636400000900114,2015-30(25),방범용,기타,직동 675-1,대전광역시 동구 직동 675-1,대전광역시 동구 직동 675-1,36.4175,127.4791,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:22,2026-06-18 16:21:04
3640000,202636400000900115,2015-31(26),방범용,기타,"산내로1396-12(대성동)
(대성동 317-9)",대전광역시 동구 산내로1396-12,대전광역시 동구 대성동 317-9,36.2876,127.4652,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900116,2015-32(26),방범용,기타,"백룡로5번길 18(자양동)
(자양동 59-1)",대전광역시 동구 백룡로5번길 18,대전광역시 동구 자양동 59-1,36.3369,127.4484,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900117,2015-33(26),방범용,기타,가양동 568-9,대전광역시 동구 가양동 568-9,대전광역시 동구 가양동 568-9,36.3389,127.4419,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900118,2015-34(26),방범용,기타,"가양로62번길 51(가양동)
(가양동 406-6)",대전광역시 동구 가양로62번길 51,대전광역시 동구 가양동 406-6,36.343,127.4446,양방향,N,N,Y,경보등+경보음,2026,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900119,2016-42,방범용,기타,"이화로 40(대동)
(대동 58-9)",대전광역시 동구 이화로 40,대전광역시 동구 대동 58-9,36.3314,127.448,양방향,N,N,Y,경보등+경보음,2016,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900120,2017- 01,방범용,기타,"한밭대로1254번길 106(용전동)
(용전동 132-7)",대전광역시 동구 한밭대로1254번길 106,대전광역시 동구 용전동 132-7,36.3513,127.4347,양방향,N,N,Y,경보등+경보음,2017,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900121,2017- 10,방범용,기타,"백룡로6번길 51-9(자양동)
(자양동 77-3)",대전광역시 동구 백룡로6번길 51-9,대전광역시 동구 자양동 77-3,36.3339,127.447,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900122,2017- 11,방범용,기타,"동대전로144번길 34(자양동)
(자양동 76-1)",대전광역시 동구 동대전로144번길 34,대전광역시 동구 자양동 76-1,36.334,127.4481,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900123,2017- 12,방범용,기타,"백룡로6번길 29-10(자양동)
(자양동 74-3)",대전광역시 동구 백룡로6번길 29-10,대전광역시 동구 자양동 74-3,36.3348,127.4474,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900124,2017-56,방범용,기타,"성동로 1(자양동)
(자양동 91-50)",대전광역시 동구 성동로 1,대전광역시 동구 자양동 91-50,36.3369,127.4518,양방향,N,N,Y,경보등+경보음,2023,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900125,2017-59,방범용,기타,"흥룡로71번길 37(가양동)
(가양동 44-4)",대전광역시 동구 흥룡로71번길 37,대전광역시 동구 가양동 44-4,36.3522,127.4516,양방향,N,N,Y,경보등+경보음,2023,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900126,2017-60,방범용,기타,"우암로 340-15(가양동)
(가양동 92-9)",대전광역시 동구 우암로 340-15,대전광역시 동구 가양동 92-9,36.3493,127.4524,양방향,N,N,Y,경보등+경보음,2023,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900127,2018-17,방범용,기타,미화1길20(소제동 305-284),대전광역시 동구 미화1길20,대전광역시 동구 소제동 305-284,36.3369,127.4414,양방향,N,N,Y,경보등+경보음,2018,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900128,2019-02,방범용,기타,계족로424번길 46(용전동 143-87),대전광역시 동구 계족로424번길 46,대전광역시 동구 용전동 143-87,36.3495,127.435,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900129,2019-23,방범용,기타,정동 4-6,대전광역시 동구 정동 4-6,대전광역시 동구 정동 4-6,36.3362,127.4314,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900130,2019-24,방범용,기타,역전1길 91(정동 2-2),대전광역시 동구 역전1길 91,대전광역시 동구 정동 2-2,36.3343,127.4319,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900131,2019-25,방범용,기타,역전1길 41(정동 14-1),대전광역시 동구 역전1길 41,대전광역시 동구 정동 14-1,36.3336,127.4322,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900132,2019-26,방범용,기타,대전천동로 666(삼성동 283-22),대전광역시 동구 대전천동로 666,대전광역시 동구 삼성동 283-22,36.3371,127.4246,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900133,2019-27,방범용,기타,우암로 61-9(삼성동 283-28),대전광역시 동구 우암로 61-9,대전광역시 동구 삼성동 283-28,36.3367,127.4251,양방향,N,N,Y,경보등+경보음,2019,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900134,2020-37,방범용,기타,충정로90번길 34(가양동 159-9),대전광역시 동구 충정로90번길 34,대전광역시 동구 가양동 159-9),36.3466,127.4525,양방향,N,N,Y,경보등+경보음,2025,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900076,시장-2호,방범용,화장실,중앙시장공영주차장(신한은행),대전광역시 동구 대전로779번길 8,대전광역시 동구 원동 51-12,36.1943,127.2615,양방향,Y,N,N,경보등+경보음,2025,2025-10-14,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900077,시장-1호,방범용,화장실,중앙시장(우체국뒤),대전광역시 동구 중앙로 204번길 97,대전광역시 동구 원동 36-15,36.1938,127.2605,단방향,Y,N,N,경보등+경보음,2019,2025-10-20,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900078,관광-3호,방범용,화장실,세천체육공원,,대전광역시 동구 세천동 74-30,36.2028,127.3002,단방향,Y,N,N,경보등+경보음,2018,2025-10-20,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900079,관광-2호,방범용,화장실,마산동쉼터,,대전광역시 동구 마산동 산45-6,36.2252,127.2844,단방향,Y,N,N,경보등+경보음,2017,2025-10-20,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900080,관광-1호,방범용,화장실,오동선,,대전광역시 동구 신하동 274-1,36.2125,127.3002,단방향,Y,N,N,경보등+경보음,2016,2025-10-20,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900081,환경-4호,방범용,화장실,신인동 행정복지센터 뒤,대전광역시 동구 충무로 203번길 28-25,대전광역시 동구 인동 16-2,36.1927,127.2617,양방향,Y,N,N,경보등+경보음,2015,2025-10-14,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900082,환경-3호,방범용,화장실,2019,대전광역시 동구 계족로 3731,대전광역시 동구 성남동 205-213,36.2044,127.2607,단방향,Y,N,N,경보등+경보음,2022,2025-10-14,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900083,환경-2호,방범용,화장실,삼성동 북부교,대전광역시 동구 대전천동로 681,대전광역시 동구 삼성동 285-37,36.2014,127.2531,양방향,Y,N,N,경보등+경보음,2016,2026-05-12,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900084,환경-1호,방범용,화장실,삼성동 삼성타운,대전광역시 동구 우암로147번길 37,대전광역시 동구 삼성동 154-8,36.1945,127.2548,단방향,Y,Y,N,경보등+경보음,2017,2025-10-13,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:23,2026-06-18 16:19:30
3640000,202636400000900160,2022- 03,방범용,기타,대전로 986-30(삼성동 370-4),대전광역시 동구 대전로 986-30,대전광역시 동구 삼성동 370-4,36.3436,127.4231,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900161,2022- 04,방범용,기타,우암로109번길 16(삼성동 105-21),대전광역시 동구 우암로109번길 16,대전광역시 동구 삼성동 105-21,36.3392,127.4298,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900030,환경-5호,방범용,화장실,인동 저소득층밀집지역,대전광역시 동구 대흥로202번길 33-3 (인동),대전광역시 동구 인동 77-45,36.1929,127.2605,양방향,Y,N,N,경보등+경보음+음성인식,2008,2026-05-12,Y,대전광역시 동구청,042-251-4583,2025-10-30,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900031,공원-1호,방범용,화장실,가양문화공원,대전광역시 동구 가양동 108-7,대전광역시 동구 가양동 108-7,36.350514,127.452373,미연계,N,N,N,경보등+경보음,2024,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900032,공원-2호,방범용,화장실,가오근린공원,대전광역시 동구 동구청로 56,대전광역시 동구 대성동132,36.302293,127.460399,양방향,Y,Y,N,경보등+경보음,2024,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900033,공원-3호,방범용,화장실,가팔어린이공원,대전광역시 동구 우암로296번길56,대전광역시 동구 가양동652-4,36.344446,127.449735,미연계,N,N,N,경보등+경보음,2019,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900034,공원-4호,방범용,화장실,구도근린공원,대전광역시 동구 안골로28번길,대전광역시 동구 구도동 388,36.269948,127.469273,미연계,N,N,N,경보등+경보음,2018,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900035,공원-5호,방범용,화장실,낭월3호어린이공원,대전광역시 동구 산내로1327번길6-13낭월동 362,대전광역시 동구 낭월동 362,36.282177,127.466248,미연계,N,N,N,경보등+경보음,2021,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:20,2026-06-18 16:19:29
3640000,202636400000900036,공원-6호,방범용,화장실,낭월7호어린이공원,대전광역시 동구 산내로1299번길 61-24,대전광역시 동구 낭월동492,36.278853,127.464922,미연계,N,N,N,경보등+경보음,2021,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:21,2026-06-18 16:19:29
3640000,202636400000900037,공원-7호,방범용,화장실,대동하늘근린공원,대전광역시 동구 동대전로110번길 184,대전광역시 동구 대동 1-636,36.332053,127.451648,양방향,Y,Y,N,경보등+경보음,2024,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:21,2026-06-18 16:19:29
3640000,202636400000900038,공원-8호,방범용,화장실,대별수변공원,대전광역시 동구 대전로97,대전광역시 동구 대별동 산5-8,36.277012,127.462686,양방향,Y,Y,N,경보등+경보음,2024,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:21,2026-06-18 16:19:29
3640000,202636400000900039,공원-9호,방범용,화장실,대청호자연수변공원,대전광역시 동구 추동446-7,대전광역시 동구 추동446-7,36.373079,127.474229,양방향,Y,Y,N,경보등+경보음,2025,2026-02-01,Y,대전광역시 동구청,042-251-4751,2026-05-08,I,2026-06-19 22:28:21,2026-06-18 16:19:29
3640000,202636400000900162,2022- 05,방범용,기타,판암2동 496-25,대전광역시 동구 판암2동 496-25,대전광역시 동구 판암2동 496-25,36.3187,127.4556,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900163,2022-19,방범용,기타,우암로 368-11(가양동 113-9),대전광역시 동구 우암로 368-11,대전광역시 동구 가양동 113-9,36.3514,127.4536,양방향,N,N,Y,경보등+경보음,2023,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900164,2022-38,방범용,기타,용운로205번길 59(용운동 256-1),대전광역시 동구 용운로205번길 59,대전광역시 동구 용운동 256-1,36.329,127.4658,양방향,N,N,Y,경보등+경보음,2024,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900165,2022-46,방범용,기타,중앙로193번길 45(중동 10-19),대전광역시 동구 중앙로193번길 45,대전광역시 동구 중동 10-19,36.3322,127.429,양방향,N,N,Y,경보등+경보음,2022,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900136,2020-39,방범용,기타,백룡로48번길 51(대동 1-405),대전광역시 동구 백룡로48번길 51,대전광역시 동구 대동 1-405,36.3318,127.4503,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900137,2020-43,방범용,기타,성남로28번길 22-7(성남동 200-19),대전광역시 동구 성남로28번길 22-7,대전광역시 동구 성남동 200-19,36.3443,127.4319,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900138,2020-44,방범용,기타,계족로328번길 42(성남동 20-16),대전광역시 동구 계족로328번길 42,대전광역시 동구 성남동 20-16,36.3423,127.4379,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900210,2025-36,방범용,기타,충정로 53(가양동 3),대전광역시 동구 충정로 53,대전광역시 동구 가양동 3,36.3489,127.4594,양방향,N,N,Y,경보등+경보음,2025,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:05
3640000,202636400000900140,2020-46,방범용,기타,백룡로57번길 61(자양동 97-22),대전광역시 동구 백룡로57번길 61,대전광역시 동구 자양동 97-22,36.3351,127.4522,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900141,2020-47,방범용,기타,우암로326번길 14(가양동 161-5),대전광역시 동구 우암로326번길 14,대전광역시 동구 가양동 161-5,36.348,127.4515,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900142,2020-48,방범용,기타,흥룡로71번길 11(가양동 43-5),대전광역시 동구 흥룡로71번길 11,대전광역시 동구 가양동 43-5,36.3514,127.4517,양방향,N,N,Y,경보등+경보음,2020,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900143,2021-13,방범용,기타,대성길 4(가양동 309-55),대전광역시 동구 대성길 4,대전광역시 동구 가양동 309-55,36.3381,127.4387,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900144,2021-14,방범용,기타,갱이길 55(가양동 360-12),대전광역시 동구 갱이길 55,대전광역시 동구 가양동 360-12,36.3366,127.4423,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900145,2021-15,방범용,기타,동서대로 1653번길 132(용전동 125-1),대전광역시 동구 동서대로 1653번길 132,대전광역시 동구 용전동 125-1,36.3541,127.4338,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
3640000,202636400000900146,2021-16,방범용,기타,동서대로 1653번길 13(용전동 145-1),대전광역시 동구 동서대로 1653번길 13,대전광역시 동구 용전동 145-1,36.3488,127.4332,양방향,N,N,Y,경보등+경보음,2021,2026-05-30,Y,대전광역시 동구청,042-251-4175,2026-05-30,I,2026-06-19 22:28:23,2026-06-18 16:21:04
